Put Gamma,Put Vega,Put Theta,Put Delta,PCR,Put POP %,Put Volume,Put OI Change,Put Change %,Put OI,Put Bid Price,Put Offer Price,Put Intrinsic Value(Fut),Put Intrinsic Value(Spot),Put Time Value,Put LTP,Strike,IV,Instrument,Call LTP,Call Time Value,Call Intrinsic Value(Spot),Call Intrinsic Value(Fut),Call Bid Price,Call Offer Price,Call OI,Call Change %,Call OI Change,Call Volume,Call POP %,Call Delta,Call Theta,Call Vega,Call Gamma
0.00080,16.79,-9.55,-0.54,1,0,2737150.00,255840.00,31.20,1075880.00,242.15,245.70,55.00,65.70,189.20,244.20,24400,12.50,NIFTY,184.95,184.95,--,--,182.60,185.00,2004535.00,8.60,159380.00,6820255.00,0,0.46,-9.55,16.79,0.00080
0.00080,16.55,-9.18,-0.58,0,0,222365.00,42900.00,74.10,100815.00,267.20,270.85,105.00,115.70,162.15,267.15,24450,12.20,NIFTY,157.95,157.95,--,--,157.15,159.00,487045.00,11.80,51545.00,2031445.00,0,0.42,-9.18,16.55,0.00080
0.00070,16.16,-8.92,-0.61,1,0,2864420.00,110695.00,4.60,2520375.00,291.90,298.00,155.00,165.70,141.00,296.00,24500,12.10,NIFTY,137.15,137.15,--,--,135.55,137.95,4867070.00,-8.10,-427505.00,15465385.00,0,0.39,-8.92,16.16,0.00070
0.00070,15.59,-8.44,-0.65,0,0,90935.00,13260.00,26.00,64285.00,319.20,328.00,205.00,215.70,121.50,326.50,24550,11.90,NIFTY,115.50,115.50,--,--,115.40,117.80,486200.00,21.70,86580.00,1944280.00,0,0.35,-8.44,15.59,0.00070
0.00070,14.89,-8.00,-0.69,0,0,538980.00,36010.00,8.00,487240.00,354.85,361.50,255.00,265.70,99.75,354.75,24600,11.80,NIFTY,98.00,98.00,--,--,98.00,98.85,2203890.00,13.30,259025.00,6684535.00,0,0.31,-8.00,14.89,0.00070
0.00070,14.09,-7.53,-0.73,0,0,23335.00,3965.00,33.90,15665.00,384.45,396.05,305.00,315.70,88.15,393.15,24650,11.80,NIFTY,83.00,83.00,--,--,82.00,83.00,331175.00,8.20,24960.00,1466075.00,0,0.27,-7.53,14.09,0.00070
0.00060,13.21,-7.06,-0.76,0,0,173095.00,27950.00,11.90,261950.00,425.15,431.65,355.00,365.70,70.55,425.55,24700,11.80,NIFTY,70.45,70.45,--,--,68.30,70.45,2381210.00,39.30,671775.00,8047975.00,0,0.24,-7.06,13.21,0.00060
0.00060,12.08,-6.31,-0.79,0,0,18005.00,910.00,5.90,16380.00,460.50,471.40,405.00,415.70,55.20,460.20,24750,11.50,NIFTY,56.20,56.20,--,--,56.10,57.95,470145.00,4.50,20215.00,1537965.00,0,0.21,-6.31,12.08,0.00060
0.00050,11.01,-5.72,-0.82,0,0,114790.00,-15340.00,-5.30,275535.00,501.05,506.00,455.00,465.70,51.00,506.00,24800,11.40,NIFTY,46.00,46.00,--,--,45.00,46.15,2164435.00,26.80,457340.00,7720115.00,0,0.18,-5.72,11.01,0.00050
0.00050,9.91,-5.12,-0.85,0,0,10335.00,910.00,16.70,6370.00,540.85,580.55,505.00,515.70,35.65,540.65,24850,11.40,NIFTY,37.40,37.40,--,--,37.00,37.40,294970.00,23.70,56550.00,1681550.00,0,0.15,-5.12,9.91,0.00050
0.00040,8.85,-4.56,-0.87,0,0,75465.00,-31980.00,-41.20,45630.00,568.30,620.80,555.00,565.70,37.70,592.70,24900,11.30,NIFTY,30.35,30.35,--,--,29.80,30.45,1377610.00,16.20,192140.00,8916830.00,0,0.13,-4.56,8.85,0.00040
0.00040,7.67,-3.90,-0.90,0,0,2470.00,-325.00,-7.00,4290.00,619.50,651.90,605.00,615.70,76.15,681.15,24950,11.20,NIFTY,23.45,23.45,--,--,23.45,24.00,441740.00,22.50,81185.00,2429960.00,0,0.10,-3.90,7.67,0.00040
0.00030,6.81,-3.49,-0.91,0,0,748930.00,-205140.00,-10.10,1819155.00,675.00,681.00,655.00,665.70,25.00,680.00,25000,11.30,NIFTY,19.50,19.50,--,--,19.05,19.50,7065890.00,1.90,132015.00,19346730.00,0,0.09,-3.49,6.81,0.00030
0.00030,5.87,-3.00,-0.93,0,0,325.00,--,--,2015.00,709.65,737.25,705.00,715.70,68.65,773.65,25050,11.20,NIFTY,15.40,15.40,--,--,14.85,15.45,362570.00,-18.50,-82030.00,1897025.00,0,0.07,-3.00,5.87,0.00030
0.00020,4.92,-2.49,-0.94,0,0,20020.00,-8450.00,-15.70,45240.00,759.35,795.45,755.00,765.70,24.35,779.35,25100,11.10,NIFTY,11.65,11.65,--,--,11.60,12.15,1233570.00,59.60,460655.00,4570280.00,0,0.06,-2.49,4.92,0.00020
0.00020,4.23,-2.15,-0.95,--,0,--,--,--,585.00,757.25,877.90,805.00,815.70,112.60,917.60,25150,11.20,NIFTY,9.40,9.40,--,--,9.00,9.60,146380.00,18.50,22880.00,629330.00,0,0.05,-2.15,4.23,0.00020
0.00020,3.57,-1.82,-0.96,0,0,7150.00,-1820.00,-2.20,79885.00,845.55,865.00,855.00,865.70,23.00,878.00,25200,11.20,NIFTY,7.40,7.40,--,--,6.95,7.50,1605240.00,44.80,496340.00,3835715.00,0,0.04,-1.82,3.57,0.00020
0.00010,2.90,-1.47,-0.97,--,0,--,--,--,780.00,850.55,936.15,905.00,915.70,190.15,1095.15,25250,11.10,NIFTY,5.50,5.50,--,--,5.55,6.10,184340.00,32.60,45305.00,846105.00,0,0.03,-1.47,2.90,0.00010
0.00010,2.63,-1.37,-0.97,0,0,1560.00,--,--,21450.00,942.40,997.50,955.00,965.70,44.90,999.90,25300,11.40,NIFTY,4.95,4.95,--,--,4.70,5.30,770055.00,33.00,191230.00,1522755.00,0,0.03,-1.37,2.63,0.00010
0.00010,2.32,-1.23,-0.98,0,0,--,--,--,1430.00,942.90,1048.55,1005.00,1015.70,331.75,1336.75,25350,11.60,NIFTY,4.25,4.25,--,--,3.65,4.20,117585.00,92.20,56420.00,312715.00,0,0.02,-1.23,2.32,0.00010
0.00010,2.05,-1.10,-0.98,0,0,1040.00,-65.00,-0.40,15600.00,1039.90,1104.20,1055.00,1065.70,69.00,1124.00,25400,11.80,NIFTY,3.65,3.65,--,--,3.05,3.55,541645.00,46.70,172315.00,1231100.00,0,0.02,-1.10,2.05,0.00010
0.00010,1.63,-0.87,-0.98,--,0,--,--,--,195.00,1028.25,1166.90,1105.00,1115.70,170.00,1275.00,25450,11.80,NIFTY,2.70,2.70,--,--,2.70,3.10,130065.00,82.20,58695.00,277940.00,0,0.02,-0.87,1.63,0.00010
0.00010,1.59,-0.88,-0.99,1,0,197860.00,-72670.00,-5.30,1292590.00,1159.50,1167.90,1155.00,1165.70,7.65,1162.65,25500,12.20,NIFTY,2.70,2.70,--,--,2.30,2.65,2525770.00,11.60,261755.00,3492710.00,0,0.01,-0.88,1.59,0.00010
0.00010,1.15,-0.63,-0.99,--,0,65.00,--,--,715.00,1156.10,1275.30,1205.00,1215.70,3.30,1208.30,25550,12.00,NIFTY,1.75,1.75,--,--,1.75,2.30,251680.00,65.00,99125.00,424125.00,0,0.01,-0.63,1.15,0.00010
--,1.05,-0.59,-0.99,0,0,390.00,-65.00,-0.40,16770.00,1164.60,1301.10,1255.00,1265.70,58.40,1313.40,25600,12.20,NIFTY,1.60,1.60,--,--,1.60,1.70,803335.00,61.60,306085.00,1754740.00,0,0.01,-0.59,1.05,--
--,0.89,-0.50,-0.99,--,0,195.00,130.00,200.00,195.00,1218.65,1364.15,1305.00,1315.70,152.35,1457.35,25650,12.30,NIFTY,1.30,1.30,--,--,1.30,1.45,254280.00,56.30,91585.00,499395.00,0,0.01,-0.50,0.89,--
--,0.86,-0.50,-0.99,0,0,--,--,--,15015.00,1241.60,1372.05,1355.00,1365.70,130.15,1485.15,25700,12.70,NIFTY,1.30,1.30,--,--,1.25,1.35,560560.00,12.40,62010.00,1477385.00,0,0.01,-0.50,0.86,--
--,0.84,-0.50,-0.99,--,0,--,--,--,390.00,1299.05,1468.00,1405.00,1415.70,330.75,1735.75,25750,13.10,NIFTY,1.30,1.30,--,--,1.15,1.30,155155.00,-0.50,-845.00,117910.00,--,0.01,-0.50,0.84,--
--,0.78,-0.47,-0.99,0,0,1300.00,-195.00,-0.70,26650.00,1448.50,1469.45,1455.00,1465.70,15.00,1470.00,25800,13.40,NIFTY,1.20,1.20,--,--,1.15,1.20,436540.00,-0.10,-390.00,577980.00,--,0.01,-0.47,0.78,--
--,0.69,-0.43,-0.99,--,0,--,--,--,65.00,1405.00,1576.05,1505.00,1515.70,259.15,1764.15,25850,13.60,NIFTY,1.05,1.05,--,--,1.00,1.05,158990.00,30.50,37115.00,309465.00,--,0.01,-0.43,0.69,--
--,0.65,-0.41,-0.99,0,0,--,--,--,5005.00,1532.85,1620.40,1555.00,1565.70,230.00,1785.00,25900,13.90,NIFTY,1.00,1.00,--,--,1.00,1.10,381160.00,-4.20,-16575.00,645775.00,--,0.01,-0.41,0.65,--
--,0.66,-0.43,-0.99,0,1,--,--,--,650.00,1535.10,1657.15,1605.00,1615.70,-17.90,1587.10,25950,14.40,NIFTY,1.05,1.05,--,--,0.95,1.05,101660.00,-19.10,-24050.00,168805.00,--,0.01,-0.43,0.66,--
--,0.67,-0.45,-0.99,1,0,178100.00,-94120.00,-4.20,2163265.00,1655.00,1667.70,1655.00,1665.70,12.05,1667.05,26000,14.80,NIFTY,1.10,1.10,--,--,1.10,1.15,3900585.00,9.10,326365.00,2596165.00,--,0.01,-0.45,0.67,--
--,0.57,-0.38,--,0,0,--,--,--,1040.00,1629.60,1763.00,1705.00,1715.70,275.90,1980.90,26050,14.90,NIFTY,0.90,0.90,--,--,0.90,1.15,162695.00,-6.80,-11830.00,92755.00,--,--,-0.38,0.57,--
--,0.62,-0.44,-0.99,0,0,650.00,-260.00,-0.70,36140.00,1683.70,1789.15,1755.00,1765.70,115.00,1870.00,26100,15.50,NIFTY,1.05,1.05,--,--,0.95,1.05,221650.00,2.90,6175.00,210535.00,--,0.01,-0.44,0.62,--
--,0.52,-0.37,--,--,0,--,--,--,65.00,1694.30,1874.90,1805.00,1815.70,255.00,2060.00,26150,15.50,NIFTY,0.85,0.85,--,--,0.85,1.15,36075.00,48.80,11830.00,203060.00,--,--,-0.37,0.52,--
--,0.49,-0.35,--,0,0,910.00,-455.00,-1.00,44525.00,1835.60,1872.55,1855.00,1865.70,19.00,1874.00,26200,15.80,NIFTY,0.80,0.80,--,--,0.80,0.90,99255.00,1.80,1755.00,209105.00,--,--,-0.35,0.49,--
--,0.48,-0.35,--,--,1,--,--,--,65.00,1768.40,1977.95,1905.00,1915.70,-134.35,1770.65,26250,16.20,NIFTY,0.80,0.80,--,--,0.80,0.90,61425.00,-11.30,-7800.00,170170.00,--,--,-0.35,0.48,--
--,0.49,-0.37,--,1,0,14495.00,-7410.00,-1.30,577525.00,1948.95,1966.80,1955.00,1965.70,5.00,1960.00,26300,16.70,NIFTY,0.85,0.85,--,--,0.80,0.85,737165.00,-2.00,-15015.00,531570.00,--,--,-0.37,0.49,--
